base 3-3
base-devel 1-2
bluez 5.86-5
bluez-utils 5.86-5
brave-bin 1:1.89.137-1
brightnessctl 0.5.1-3
btrfs-progs 6.19.1-1
cups 2:2.4.16-2
cups-pk-helper 0.2.7-2
efibootmgr 18-3
git 2.53.0-1
gst-plugin-pipewire 1:1.6.3-1
hyprland 0.54.3-2
hyprpaper 0.8.3-4
hyprpolkitagent 0.1.3-6
intel-ucode 20260227-1
iwd 3.12-1
kitty 0.46.2-1
less 1:692-1
linux 6.19.11.arch1-1
linux-firmware 20260309-1
matugen 4.1.0-1
micro 2.0.15-2
nautilus 50.1-1
pipewire 1:1.6.3-1
pipewire-alsa 1:1.6.3-1
pipewire-jack 1:1.6.3-1
pipewire-pulse 1:1.6.3-1
power-profiles-daemon 0.30-1
rofi 2.0.0-1
sof-firmware 2025.12.2-1
stow 2.4.1-1
sudo 1.9.17.p2-2
system-config-printer 1.5.18-6
timeshift 25.12.4-1
ttf-carlito 20230509-2
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-liberation 2.1.5-2
waybar 0.15.0-2
wireplumber 0.5.14-1
wl-clipboard 1:2.3.0-1
xdg-desktop-portal 1.20.4-1
xdg-desktop-portal-hyprland 1.3.11-4
xdg-desktop-portal-shana 0.3.16-1.0
yay-bin 12.5.7-1
yay-bin-debug 12.5.7-1
zed 0.232.2-1
zram-generator 1.2.1-1
